,year,name,gCNN_d18o
96,1953,rodcat_utu,25.018
97,1953,rodcat_gua,28.715
98,1953,rodcat_irr,30.199
99,1953,rodcat_fsa,26.746
100,1954,baker_ecu,23.565
101,1954,brie_sel,22.556
102,1954,jenkins,23.038
103,1954,ball_m,23.038
104,1954,ball_v,30.362
105,1954,ortega_jam,23.566
106,1954,rodcat_utu,25.018
107,1954,rodcat_gua,28.715
108,1954,rodcat_irr,30.199
109,1954,rodcat_fsa,26.746
110,1955,baker_ecu,23.565
111,1955,brie_sel,22.556
112,1955,jenkins,23.038
113,1955,ball_m,23.038
114,1955,ball_v,30.362
115,1955,ortega_jam,23.566
116,1955,rodcat_utu,25.018
117,1955,rodcat_gua,28.715
118,1955,rodcat_irr,30.199
119,1955,rodcat_fsa,26.746
120,1956,baker_ecu,23.565
121,1956,brie_sel,22.556
122,1956,jenkins,23.038
123,1956,ball_m,23.038
124,1956,ball_v,30.362
125,1956,ortega_jam,23.566
126,1956,rodcat_utu,25.018
127,1956,rodcat_gua,28.715
128,1956,rodcat_irr,30.199
129,1956,rodcat_fsa,26.746
130,1957,baker_ecu,23.565
131,1957,brie_sel,22.556
132,1957,jenkins,23.038
133,1957,ball_m,23.038
134,1957,ball_v,30.362
135,1957,ortega_jam,23.566
136,1957,rodcat_utu,25.018
137,1957,rodcat_gua,28.715
138,1957,rodcat_irr,30.199
139,1957,rodcat_fsa,26.746
140,1958,baker_ecu,23.565
141,1958,brie_sel,22.556
142,1958,jenkins,23.038
143,1958,ball_m,23.038
144,1958,ball_v,30.362
145,1958,ortega_jam,23.566
146,1958,rodcat_utu,25.018
147,1958,rodcat_gua,28.715
148,1958,rodcat_irr,30.199
149,1958,rodcat_fsa,26.746
150,1959,baker_ecu,23.565
151,1959,brie_sel,22.556
152,1959,jenkins,23.038
153,1959,ball_m,23.038
154,1959,ball_v,30.362
155,1959,ortega_jam,23.566
156,1959,rodcat_utu,25.018
157,1959,rodcat_gua,28.715
158,1959,rodcat_irr,30.199
159,1959,rodcat_fsa,26.746
160,1960,baker_ecu,23.565
161,1960,brie_sel,22.556
162,1960,jenkins,23.038
163,1960,ball_m,23.038
164,1960,ball_v,30.362
165,1960,ortega_jam,23.566
166,1960,rodcat_utu,25.018
167,1960,rodcat_gua,28.715
168,1960,rodcat_irr,30.199
169,1960,rodcat_fsa,26.746
170,1961,baker_ecu,23.565
171,1961,brie_sel,22.556
172,1961,jenkins,23.038
173,1961,ball_m,23.038
174,1961,ball_v,30.362
175,1961,ortega_jam,23.566
176,1961,rodcat_utu,25.018
177,1961,rodcat_gua,28.715
